gender_Female,gender_Male,job_Argiculture,job_Entertainment,job_Financial Services,job_Health,job_IT,job_Manufacturing,job_Property,job_Retail,car_No,state_NSW,state_QLD,age,wealth_segment,tenure,property_valuation,profit
0,1,0,1,0,0,0,0,0,0,0,0,1,36,2,17.0,2,681.1828571428571
0,1,0,0,1,0,0,0,0,0,1,1,0,42,1,8.0,3,349.38333333333327
1,0,0,0,0,0,0,0,0,0,0,0,0,45,2,15.0,6,324.726
0,1,0,0,0,1,0,0,0,0,1,1,0,25,2,2.0,4,618.8842857142856
1,0,0,0,0,0,0,0,0,0,0,0,0,42,1,8.0,9,695.135
0,1,0,0,0,0,0,0,0,0,1,1,0,23,2,1.0,9,849.7360000000001
0,1,0,0,0,0,0,1,0,0,0,1,0,37,1,16.0,10,722.9575000000001
0,1,0,0,0,0,0,0,0,1,1,0,1,58,1,18.0,5,606.925
0,1,0,0,1,0,0,0,0,0,0,1,0,29,1,13.0,8,902.9716666666667
1,0,0,0,1,0,0,0,0,0,1,0,1,63,1,16.0,3,590.0139999999999
1,0,0,0,0,0,0,0,1,0,0,1,0,51,1,18.0,8,585.4585714285715
0,1,0,0,1,0,0,0,0,0,0,1,0,61,2,7.0,10,402.6075
0,1,0,0,0,0,0,0,1,0,0,1,0,21,1,4.0,10,182.1771428571428
0,1,0,0,0,0,0,0,0,0,0,0,1,29,1,13.0,6,852.9933333333333
1,0,0,0,1,0,0,0,0,0,0,1,0,50,2,17.0,9,437.67125
0,1,0,0,0,0,0,0,0,0,1,1,0,17,3,3.0,9,876.1233333333333
1,0,0,0,0,0,0,1,0,0,1,1,0,47,1,10.0,10,323.61
1,0,0,0,0,0,0,0,1,0,1,1,0,58,3,13.0,7,709.0400000000001
1,0,0,0,0,0,1,0,0,0,0,1,0,38,1,22.0,8,820.1466666666666
1,0,0,0,0,0,0,0,0,1,0,1,0,52,1,16.0,9,730.0166666666668
0,1,0,0,0,0,1,0,0,0,1,0,0,39,3,4.0,8,109.33599999999994
0,1,0,0,1,0,0,0,0,0,0,1,0,41,2,15.0,10,740.2683333333333
0,1,1,0,0,0,0,0,0,0,1,1,0,15,3,1.0,10,833.465
0,1,0,0,0,0,0,0,0,1,1,1,0,57,1,18.0,10,240.65799999999996
1,0,0,0,0,0,0,0,0,0,1,0,0,43,2,9.0,7,1280.8533333333332
1,0,0,0,0,0,0,0,0,0,1,0,0,48,1,6.0,7,882.4583333333334
0,1,0,0,1,0,0,0,0,0,1,1,0,24,2,8.0,12,547.3799999999999
0,1,1,0,0,0,0,0,0,0,0,1,0,32,2,12.0,10,155.6500000000001
0,1,0,0,0,0,0,1,0,0,0,0,1,45,2,16.0,6,639.945
1,0,0,0,0,0,0,0,0,0,0,1,0,57,2,5.0,8,386.08500000000004
1,0,0,0,0,0,0,0,0,0,0,0,1,48,1,6.0,8,322.17333333333335
1,0,0,0,0,0,0,0,1,0,1,1,0,39,1,19.0,8,622.4925
1,0,0,0,0,0,0,0,0,1,0,0,1,39,3,18.0,9,358.52
0,1,0,0,1,0,0,0,0,0,1,0,1,28,1,7.0,5,552.5266666666668
0,1,1,0,0,0,0,0,0,0,1,1,0,32,2,8.0,9,41.129999999999995
1,0,0,0,0,0,0,1,0,0,1,1,0,49,1,18.0,10,432.91
0,1,0,1,0,0,0,0,0,0,1,0,0,39,1,13.0,1,598.8859999999999
1,0,0,0,0,1,0,0,0,0,1,1,0,31,3,13.0,6,812.255
1,0,0,0,0,0,0,0,1,0,1,0,0,52,3,19.0,8,584.874
0,1,0,0,0,0,1,0,0,0,0,1,0,50,1,18.0,12,299.70000000000005
0,1,0,0,0,0,0,0,0,0,0,1,0,59,1,14.0,11,327.8885714285715
0,1,0,0,0,0,0,0,0,0,1,1,0,59,1,8.0,11,93.89499999999998
0,1,0,0,0,1,0,0,0,0,0,1,0,28,3,7.0,11,262.2322222222222
0,1,0,0,1,0,0,0,0,0,1,1,0,43,1,8.0,12,415.63999999999993
1,0,0,0,0,0,0,0,1,0,0,1,0,51,3,7.0,12,422.3883333333333
0,1,0,0,0,1,0,0,0,0,0,1,0,50,1,14.0,11,642.1833333333334
0,1,0,0,0,0,0,1,0,0,1,1,0,33,1,11.0,10,427.2471428571429
0,1,0,0,1,0,0,0,0,0,0,1,0,62,2,17.0,9,655.3012500000002
1,0,0,0,0,1,0,0,0,0,1,0,0,37,1,12.0,10,989.1466666666665
0,1,0,0,0,0,0,0,0,1,0,0,0,41,1,10.0,10,992.1366666666667
0,1,0,0,0,0,0,1,0,0,1,1,0,43,1,21.0,7,700.3157142857143
1,0,0,0,0,0,0,1,0,0,0,0,0,57,2,8.0,10,762.7024999999999
0,1,0,0,0,0,0,1,0,0,1,1,0,49,1,15.0,11,378.4166666666667
0,1,0,0,1,0,0,0,0,0,0,1,0,38,1,10.0,8,613.90125
1,0,0,0,0,1,0,0,0,0,1,1,0,61,1,7.0,10,386.112
0,1,0,0,1,0,0,0,0,0,1,1,0,19,1,3.0,9,506.4055555555555
0,1,0,0,1,0,0,0,0,0,0,1,0,49,1,4.0,12,438.7
0,1,0,0,0,0,0,1,0,0,1,1,0,42,3,11.0,10,647.4725
0,1,0,0,0,0,0,1,0,0,1,1,0,61,2,16.0,9,369.5728571428571
1,0,0,0,1,0,0,0,0,0,0,1,0,20,2,4.0,12,182.664
1,0,0,0,0,1,0,0,0,0,0,0,1,39,1,9.0,10,443.7825000000001
1,0,0,0,0,0,0,1,0,0,1,1,0,16,1,1.0,10,868.76
0,1,0,0,0,1,0,0,0,0,0,1,0,51,3,18.0,9,837.8966666666666
1,0,0,0,1,0,0,0,0,0,0,1,0,27,1,9.0,12,585.9925000000001
1,0,0,0,0,0,0,0,0,0,1,1,0,23,3,3.0,8,852.4733333333334
0,1,0,0,0,0,0,0,0,0,0,1,0,39,2,4.0,11,443.066
0,1,0,0,1,0,0,0,0,0,1,0,0,17,2,1.0,8,374.5071428571428
1,0,0,0,0,0,0,0,0,0,1,1,0,24,1,2.0,12,753.6324999999999
1,0,0,0,0,0,0,0,0,1,1,0,0,42,3,12.0,11,957.0316666666668
0,1,0,0,0,0,0,0,0,0,1,0,1,61,1,20.0,4,440.096
1,0,0,1,0,0,0,0,0,0,1,1,0,32,2,8.0,9,548.8149999999999
0,1,0,0,0,1,0,0,0,0,1,0,0,36,1,18.0,1,391.98375000000004
0,1,0,0,0,0,0,1,0,0,0,1,0,18,2,2.0,8,305.94250000000005
1,0,0,0,0,0,0,1,0,0,1,0,1,35,1,15.0,6,691.7340000000002
0,1,0,0,0,0,0,0,0,0,1,0,0,58,3,19.0,10,710.02
0,1,0,0,0,0,0,0,0,0,0,0,0,36,3,9.0,7,1054.31
0,1,0,0,1,0,0,0,0,0,0,1,0,39,3,4.0,2,435.5933333333334
0,1,0,0,0,0,0,1,0,0,1,1,0,60,1,15.0,9,723.0225
0,1,0,0,1,0,0,0,0,0,0,0,1,38,1,12.0,2,539.0440000000001
1,0,0,0,1,0,0,0,0,0,1,1,0,29,3,15.0,8,811.4375
1,0,0,0,0,1,0,0,0,0,0,0,0,22,3,5.0,8,579.1785714285713
1,0,0,0,0,0,0,0,1,0,1,1,0,57,1,16.0,10,367.09777777777776
0,1,0,0,0,1,0,0,0,0,0,0,1,25,1,3.0,4,365.4866666666667
1,0,0,0,1,0,0,0,0,0,1,0,1,43,1,19.0,1,399.37100000000004
0,1,0,0,0,0,0,0,1,0,0,1,0,40,1,12.0,5,548.2650000000001
0,1,0,0,1,0,0,0,0,0,0,1,0,32,3,19.0,9,688.4375
0,1,0,0,0,0,0,1,0,0,1,1,0,20,1,1.0,7,889.79
1,0,0,0,0,0,0,0,0,1,1,0,1,53,3,8.0,3,915.8183333333335
1,0,0,0,0,0,0,1,0,0,0,1,0,54,1,9.0,8,463.45333333333343
0,1,0,0,1,0,0,0,0,0,0,0,1,40,1,16.0,1,160.77800000000002
1,0,0,0,0,0,0,0,0,0,0,1,0,20,2,5.0,11,491.07
1,0,0,0,0,0,1,0,0,0,1,0,0,42,1,3.0,6,542.345
0,1,0,0,0,0,0,1,0,0,0,0,1,44,3,7.0,3,442.9000000000001
0,1,0,0,0,0,0,0,1,0,1,1,0,30,3,10.0,10,299.28999999999996
0,1,0,0,1,0,0,0,0,0,0,1,0,32,2,13.0,9,482.44571428571436
0,1,0,0,0,0,0,0,0,0,1,0,1,53,2,4.0,1,573.4933333333332
0,1,0,0,0,0,0,1,0,0,1,0,0,23,1,2.0,9,449.9833333333333
0,1,0,0,1,0,0,0,0,0,0,1,0,63,3,10.0,11,712.7833333333334
0,1,0,0,0,1,0,0,0,0,1,0,0,50,2,17.0,9,356.1218181818181
0,1,1,0,0,0,0,0,0,0,0,0,1,60,1,11.0,6,618.6925
0,0,0,0,0,0,1,0,0,0,1,1,0,39,1,10.0,3,611.0025
0,1,0,0,1,0,0,0,0,0,1,1,0,20,1,4.0,5,448.6142857142857
0,1,0,0,0,0,0,1,0,0,1,1,0,32,1,8.0,11,108.52999999999997
1,0,0,0,0,1,0,0,0,0,0,1,0,44,1,10.0,11,839.0266666666666
1,0,0,0,0,0,0,0,0,0,0,0,0,36,1,5.0,8,653.6800000000001
1,0,0,0,0,1,0,0,0,0,0,0,1,22,1,1.0,7,425.86800000000005
0,1,0,0,1,0,0,0,0,0,1,1,0,34,2,17.0,7,611.6275
0,1,0,0,0,0,0,1,0,0,0,1,0,52,1,13.0,9,809.344285714286
1,0,0,0,1,0,0,0,0,0,1,1,0,36,1,16.0,12,983.44
1,0,0,1,0,0,0,0,0,0,0,1,0,40,1,12.0,8,788.9300000000001
1,0,0,0,0,0,0,0,0,0,1,1,0,59,1,11.0,8,136.72600000000003
0,1,0,0,0,0,0,1,0,0,1,1,0,32,1,10.0,10,362.8066666666667
1,0,0,0,1,0,0,0,0,0,0,0,0,38,1,11.0,11,619.0739999999998
0,1,0,0,1,0,0,0,0,0,1,0,0,43,2,16.0,8,127.13999999999999
0,1,0,0,0,0,0,0,0,0,1,1,0,33,2,5.0,6,771.225
0,1,0,0,0,1,0,0,0,0,1,1,0,30,2,13.0,10,489.2283333333334
0,1,0,0,0,1,0,0,0,0,1,1,0,53,1,18.0,11,1307.0800000000002
0,1,0,0,0,0,0,0,0,0,1,1,0,41,1,16.0,10,459.46000000000015
0,1,0,0,0,0,1,0,0,0,1,1,0,38,1,15.0,10,443.2033333333333
1,0,0,1,0,0,0,0,0,0,0,0,0,41,3,14.0,10,550.64
1,0,0,0,0,0,0,0,0,1,0,0,1,18,2,1.0,4,262.0466666666667
0,1,1,0,0,0,0,0,0,0,0,1,0,33,1,12.0,10,686.9466666666667
0,1,0,0,0,0,0,1,0,0,1,0,1,62,2,6.0,4,524.68
1,0,0,0,0,1,0,0,0,0,0,0,1,48,3,17.0,6,665.9266666666667
0,0,0,0,0,0,1,0,0,0,0,0,0,39,2,10.0,6,725.0749999999999
0,1,0,0,0,0,0,0,0,0,0,1,0,60,3,5.0,9,232.08666666666667
0,1,0,0,0,1,0,0,0,0,1,0,0,42,3,21.0,8,456.3866666666666
1,0,0,0,0,0,0,1,0,0,1,1,0,47,1,10.0,11,604.1425
0,1,0,0,0,0,0,1,0,0,0,0,0,29,2,6.0,4,335.5228571428571
1,0,0,0,0,1,0,0,0,0,1,1,0,20,2,1.0,8,727.7233333333334
1,0,0,0,0,1,0,0,0,0,1,1,0,28,1,12.0,9,762.824
0,1,0,0,0,0,0,1,0,0,1,0,0,42,2,5.0,11,434.108
0,1,0,0,0,0,0,0,1,0,1,1,0,25,1,10.0,8,618.0140000000001
1,0,0,0,1,0,0,0,0,0,1,1,0,28,3,4.0,5,361.830909090909
0,1,0,0,0,0,0,0,0,0,1,1,0,50,2,8.0,7,546.145
0,1,0,0,0,0,0,1,0,0,0,1,0,51,3,6.0,9,604.8633333333333
1,0,1,0,0,0,0,0,0,0,1,0,1,46,2,14.0,8,580.7642857142857
1,0,0,0,0,0,0,1,0,0,1,0,0,35,1,9.0,1,473.04800000000006
0,1,0,0,1,0,0,0,0,0,0,0,1,25,2,7.0,4,772.7314285714286
1,0,0,0,0,0,0,0,0,1,1,1,0,20,2,3.0,10,531.3066666666667
0,1,0,0,0,0,0,1,0,0,0,1,0,46,3,7.0,1,727.1166666666668
0,1,0,0,0,0,0,0,1,0,0,1,0,38,1,13.0,5,506.8114285714285
1,0,0,0,1,0,0,0,0,0,1,0,1,43,1,3.0,7,361.02833333333336
0,1,0,0,0,0,0,0,0,0,1,1,0,63,1,11.0,10,430.69714285714286
1,0,0,0,0,0,0,0,1,0,0,1,0,42,3,13.0,11,443.14500000000004
0,1,0,0,1,0,0,0,0,0,1,0,0,36,2,10.0,4,1065.9959999999999
1,0,0,0,0,1,0,0,0,0,1,1,0,38,2,10.0,9,233.16000000000008
0,1,0,0,0,0,0,0,0,0,0,1,0,57,2,6.0,7,834.9399999999999
1,0,0,0,0,1,0,0,0,0,0,0,0,39,1,8.0,6,379.86750000000006
0,1,0,0,0,0,0,1,0,0,0,0,1,53,1,12.0,7,510.3
1,0,0,0,1,0,0,0,0,0,1,0,1,43,2,10.0,5,869.4266666666667
1,0,0,0,0,0,0,1,0,0,1,0,0,59,1,6.0,9,1376.2014285714283
0,1,0,0,0,0,0,1,0,0,1,1,0,51,3,6.0,8,467.25
1,0,0,0,0,0,0,0,0,0,1,1,0,40,3,5.0,12,405.7455555555556
1,0,0,1,0,0,0,0,0,0,1,0,0,36,1,16.0,7,736.8744444444445
1,0,0,0,0,1,0,0,0,0,0,1,0,39,1,21.0,8,662.6325
0,1,0,0,0,0,0,0,1,0,0,0,1,60,2,19.0,2,809.3177777777779
0,1,0,0,0,0,0,1,0,0,0,1,0,51,1,11.0,9,594.1685714285715
1,0,0,1,0,0,0,0,0,0,0,0,1,54,2,16.0,5,431.9700000000001
0,1,1,0,0,0,0,0,0,0,0,1,0,53,1,11.0,11,296.224
0,1,0,0,1,0,0,0,0,0,1,0,0,41,1,5.0,10,785.9112500000001
0,1,0,0,1,0,0,0,0,0,0,0,0,59,1,6.0,9,223.1411111111111
1,0,0,0,0,0,0,0,0,0,0,1,0,63,1,14.0,9,954.1624999999999
1,0,0,0,0,0,0,0,0,0,1,0,1,23,1,7.0,8,543.3433333333334
0,1,0,0,0,0,0,0,1,0,1,0,1,23,3,5.0,7,668.4039999999999
0,1,0,0,0,0,0,0,0,0,0,1,0,60,2,6.0,11,616.2140000000002
0,1,0,0,0,0,0,0,1,0,1,0,0,54,1,18.0,9,492.83833333333337
1,0,0,0,0,0,0,1,0,0,0,1,0,43,1,5.0,10,454.45
1,0,0,0,0,0,1,0,0,0,1,0,1,16,2,1.0,4,895.205
0,1,0,0,1,0,0,0,0,0,0,0,1,21,3,6.0,4,776.7727272727273
0,1,0,0,0,1,0,0,0,0,1,0,1,60,1,6.0,9,416.47333333333336
1,0,0,0,0,0,0,0,0,1,0,0,1,43,3,18.0,3,486.1737500000001
1,0,0,0,1,0,0,0,0,0,0,1,0,22,3,7.0,10,538.0125
1,0,0,0,0,0,0,1,0,0,1,1,0,38,3,16.0,11,291.96125000000006
1,0,0,0,0,0,0,0,1,0,0,1,0,24,3,8.0,8,369.04249999999996
0,1,0,0,0,1,0,0,0,0,1,1,0,53,1,7.0,8,281.3883333333334
1,0,0,0,0,0,0,1,0,0,1,0,0,63,3,9.0,8,717.3516666666666
1,0,0,0,0,0,0,1,0,0,1,1,0,37,1,14.0,8,644.2800000000001
0,1,0,0,0,1,0,0,0,0,1,1,0,39,1,16.0,11,714.03
0,1,0,0,0,0,0,0,0,0,0,1,0,34,2,14.0,7,630.01
0,1,0,0,1,0,0,0,0,0,1,1,0,50,2,17.0,12,492.35800000000006
1,0,0,0,0,1,0,0,0,0,1,1,0,40,2,13.0,9,529.1833333333334
0,1,0,0,0,0,0,1,0,0,1,1,0,40,1,20.0,7,586.9300000000001
0,1,0,1,0,0,0,0,0,0,1,1,0,44,1,18.0,9,781.206
1,0,0,0,0,0,0,1,0,0,1,1,0,31,3,12.0,7,743.95
0,1,0,0,0,0,0,0,1,0,1,1,0,51,3,19.0,10,362.368
1,0,0,0,0,0,0,0,1,0,1,1,0,63,3,11.0,11,474.50100000000003
0,1,0,0,1,0,0,0,0,0,0,1,0,22,1,3.0,10,586.1300000000001
1,0,0,0,0,0,0,0,0,1,1,1,0,30,1,12.0,9,526.265
0,1,0,0,0,0,0,0,1,0,1,1,0,31,1,13.0,10,364.51500000000004
1,0,0,0,0,0,0,0,0,1,1,1,0,48,3,12.0,10,640.3477777777777
1,0,0,0,0,1,0,0,0,0,1,1,0,41,1,15.0,8,425.98363636363626
0,1,0,0,0,1,0,0,0,0,1,0,0,63,2,14.0,2,608.66
0,1,0,0,0,0,0,0,1,0,0,1,0,43,3,11.0,11,454.38
0,1,0,0,0,0,0,0,0,0,0,1,0,33,1,14.0,8,622.514
0,1,0,0,0,1,0,0,0,0,1,0,1,25,2,3.0,3,658.6922222222222
0,1,0,0,0,0,1,0,0,0,0,1,0,28,3,15.0,9,378.6
0,1,0,1,0,0,0,0,0,0,1,0,1,30,1,20.0,7,480.70500000000004
0,1,0,0,0,0,0,0,1,0,1,1,0,25,2,8.0,9,365.5285714285714
1,0,0,0,0,0,0,1,0,0,0,1,0,41,3,14.0,8,438.71000000000004
0,1,0,0,0,0,0,0,0,1,1,0,0,43,2,8.0,6,1089.7333333333333
1,0,0,0,1,0,0,0,0,0,1,0,0,16,2,1.0,1,442.6039999999999
1,0,0,0,0,0,0,1,0,0,1,0,1,26,3,9.0,5,352.6844444444444
1,0,0,0,1,0,0,0,0,0,0,1,0,34,3,13.0,4,701.8799999999999
1,0,0,0,0,1,0,0,0,0,0,1,0,39,2,12.0,10,509.99
0,1,0,0,0,0,1,0,0,0,1,1,0,25,3,9.0,11,248.4588888888889
0,1,0,0,0,1,0,0,0,0,0,1,0,29,1,13.0,10,574.1499999999999
1,0,0,0,1,0,0,0,0,0,0,1,0,40,2,10.0,8,302.5
1,0,0,0,0,0,0,0,1,0,0,1,0,34,1,13.0,7,519.528
1,0,0,0,0,1,0,0,0,0,0,1,0,20,1,1.0,7,279.03749999999997
1,0,0,0,0,0,0,0,0,1,1,0,0,56,1,14.0,1,968.7071428571428
1,0,0,0,0,0,1,0,0,0,1,0,0,63,1,5.0,2,619.4381818181819
1,0,0,0,0,1,0,0,0,0,0,1,0,42,3,21.0,7,345.73199999999997
1,0,0,0,0,0,0,1,0,0,0,1,0,51,2,19.0,5,730.1060000000001
1,0,0,0,0,0,0,1,0,0,1,1,0,25,3,9.0,6,328.51599999999996
1,0,0,0,0,1,0,0,0,0,0,1,0,34,3,3.0,6,531.1625
1,0,0,0,0,1,0,0,0,0,0,0,1,38,3,22.0,2,375.71222222222224
0,1,0,0,0,0,0,0,0,0,1,1,0,40,1,8.0,1,448.12777777777774
0,1,0,0,0,1,0,0,0,0,0,1,0,40,3,10.0,10,423.57199999999995
1,0,0,0,0,1,0,0,0,0,1,1,0,32,3,7.0,9,496.7057142857143
0,1,0,0,0,1,0,0,0,0,1,1,0,40,1,11.0,10,66.04666666666665
0,1,0,0,0,0,0,0,0,1,0,0,0,52,3,18.0,9,673.2275000000001
1,0,0,0,0,0,0,0,0,1,1,1,0,28,2,18.0,10,435.7075
0,0,0,0,0,0,1,0,0,0,1,1,0,39,3,10.0,10,584.4975000000001
1,0,0,0,0,0,0,1,0,0,1,1,0,39,1,10.0,9,678.2975
0,1,0,0,0,0,0,0,1,0,0,0,0,63,1,9.0,7,333.77
1,0,0,0,0,0,0,0,0,0,0,0,0,47,1,17.0,10,660.7442857142858
1,0,0,0,1,0,0,0,0,0,1,0,1,26,1,4.0,2,513.1350000000001
1,0,0,0,0,0,0,0,0,1,0,1,0,30,1,1.0,12,548.8671428571428
0,1,0,0,0,0,0,0,0,0,1,0,0,54,1,19.0,9,651.924
1,0,0,0,0,1,0,0,0,0,0,0,0,41,1,14.0,8,197.51500000000001
0,1,0,0,0,1,0,0,0,0,1,1,0,62,3,13.0,4,591.6685714285715
1,0,0,0,1,0,0,0,0,0,1,0,0,27,1,22.0,8,184.6583333333333
1,0,0,0,0,0,0,0,0,0,1,0,1,61,3,15.0,8,491.7825
0,1,0,0,0,0,0,0,0,0,0,1,0,20,2,4.0,12,827.1599999999999
1,0,0,0,0,0,0,1,0,0,1,1,0,36,1,11.0,11,409.32166666666666
0,1,0,0,0,0,0,0,0,0,0,1,0,22,2,5.0,8,669.139090909091
1,0,0,0,1,0,0,0,0,0,0,1,0,45,3,8.0,6,558.4175
0,1,1,0,0,0,0,0,0,0,0,0,1,28,3,11.0,5,312.075
1,0,0,0,0,0,0,0,0,1,1,0,1,26,1,2.0,6,821.0949999999999
0,1,0,0,1,0,0,0,0,0,0,1,0,31,3,9.0,11,650.284
1,0,0,0,0,0,0,1,0,0,1,1,0,40,1,12.0,12,437.78999999999996
0,1,0,0,0,0,0,1,0,0,0,0,1,28,2,11.0,7,579.0633333333334
0,1,0,0,0,0,0,1,0,0,1,0,0,32,3,9.0,7,452.1825
1,0,0,0,0,1,0,0,0,0,1,1,0,47,3,10.0,9,436.01222222222225
0,0,0,0,0,0,1,0,0,0,1,1,0,39,1,10.0,9,673.656
1,0,0,1,0,0,0,0,0,0,1,0,0,46,1,4.0,5,302.505
1,0,0,0,0,0,0,0,0,0,0,0,1,56,2,9.0,8,518.8000000000001
0,1,0,0,0,0,0,1,0,0,0,1,0,28,1,20.0,2,398.3860000000001
0,1,0,0,0,0,0,0,0,0,1,0,0,58,3,5.0,7,787.0957142857143
1,0,0,0,0,0,0,0,0,0,0,0,1,53,1,18.0,6,648.5571428571429
0,1,0,0,0,1,0,0,0,0,0,1,0,45,3,17.0,8,838.43
1,0,0,0,0,0,0,1,0,0,1,0,0,58,3,16.0,7,899.7950000000001
0,1,0,0,0,0,0,1,0,0,1,0,0,61,3,9.0,8,528.559
1,0,0,0,1,0,0,0,0,0,0,1,0,61,1,7.0,9,985.4171428571428
0,1,0,0,0,1,0,0,0,0,1,0,0,61,1,9.0,9,695.1800000000001
1,0,0,0,0,0,0,1,0,0,1,1,0,37,3,19.0,7,44.855000000000004
1,0,0,0,0,1,0,0,0,0,1,0,1,40,1,13.0,7,127.70500000000007
1,0,1,0,0,0,0,0,0,0,0,1,0,43,1,14.0,9,1082.36
0,1,0,0,0,0,0,1,0,0,0,1,0,48,1,15.0,11,309.44888888888886
1,0,0,0,1,0,0,0,0,0,1,1,0,43,1,11.0,4,385.84000000000003
0,1,0,0,0,1,0,0,0,0,1,0,0,44,3,18.0,3,119.67500000000001
0,1,0,0,0,1,0,0,0,0,0,0,0,33,2,12.0,9,433.20124999999996
0,1,0,0,0,0,1,0,0,0,1,0,0,34,3,4.0,5,681.035
1,0,0,0,0,1,0,0,0,0,0,0,0,43,1,21.0,7,552.145
1,0,0,0,1,0,0,0,0,0,0,1,0,32,1,18.0,9,677.7414285714285
1,0,0,0,0,1,0,0,0,0,1,1,0,60,3,12.0,10,675.7466666666668
0,1,0,0,1,0,0,0,0,0,0,1,0,59,2,6.0,10,833.6183333333333
0,1,0,0,0,0,0,1,0,0,0,0,0,30,1,13.0,8,531.105
1,0,0,0,0,0,0,0,0,1,0,0,0,55,3,5.0,3,400.01875
1,0,0,0,0,0,0,1,0,0,1,0,0,59,2,12.0,10,244.45666666666673
1,0,0,0,0,0,0,1,0,0,0,0,0,41,1,10.0,7,539.6775
1,0,0,1,0,0,0,0,0,0,0,1,0,43,1,14.0,10,707.4780000000001
1,0,0,0,0,0,0,0,0,1,0,1,0,48,2,18.0,2,518.8828571428571
1,0,0,0,0,0,0,0,0,1,0,1,0,46,1,14.0,8,791.182
0,1,0,0,0,1,0,0,0,0,1,0,1,20,1,4.0,2,720.466
1,0,0,0,0,0,0,0,0,0,1,0,1,44,1,18.0,5,401.236
1,0,0,0,1,0,0,0,0,0,0,0,1,40,1,11.0,6,861.7975000000001
1,0,0,0,0,1,0,0,0,0,0,0,1,44,1,7.0,9,336.78833333333336
0,1,0,0,0,0,1,0,0,0,0,1,0,31,1,15.0,9,355.93999999999994
1,0,0,0,1,0,0,0,0,0,0,0,1,46,2,17.0,8,744.18
1,0,0,0,1,0,0,0,0,0,1,1,0,37,1,6.0,10,400.4166666666666
